TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,336,311,321,30.10,30.00
0:0,339,311,321,30.10,30.00
0:0,340,312,319,30.00,30.00
0:0,339,312,321,30.00,30.00
0:0,340,312,319,30.00,30.00
0:0,340,312,320,30.00,30.00
0:0,339,310,320,30.00,30.00
0:0,339,311,320,30.00,30.00
0:0,340,312,320,30.00,30.00
0:0,339,311,321,30.00,30.00
0:0,340,311,321,30.00,29.00
0:0,339,311,321,30.00,29.00
0:0,340,313,320,30.00,29.00
0:0,340,312,319,30.00,29.00
0:0,339,312,321,30.10,29.00
0:0,339,312,319,30.10,29.00
0:0,340,312,319,30.10,29.00
0:0,339,312,321,30.10,29.00
0:0,339,311,321,30.00,29.00
0:0,339,313,320,30.00,29.00
0:0,339,311,322,30.00,29.00
0:0,339,312,321,30.00,29.00
0:0,339,311,321,30.10,29.00
0:0,339,313,320,30.10,29.00
0:0,339,313,322,30.10,29.00
0:0,339,311,321,30.10,29.00
0:0,339,314,322,30.10,29.00
0:0,338,311,322,30.10,29.00
0:0,338,311,322,30.10,29.00
0:0,339,313,321,30.10,29.00
0:0,339,313,322,30.10,29.00
0:0,340,313,322,30.10,29.00
0:0,339,311,322,30.10,29.00
0:0,340,312,320,30.10,29.00
0:0,339,314,322,30.10,29.00
0:0,339,313,322,30.10,29.00
0:0,337,312,322,30.10,29.00
0:0,338,312,322,30.10,29.00
0:0,339,313,319,30.00,29.00
0:0,338,312,322,30.00,29.00
0:0,339,311,323,30.00,29.00
0:0,339,314,323,30.00,29.00
0:0,339,313,321,30.00,29.00
0:0,339,314,322,30.00,29.00
0:0,339,313,321,30.00,29.00
0:0,339,313,322,30.00,29.00
0:0,339,314,323,30.10,30.00
0:0,340,314,322,30.10,30.00
0:0,339,311,324,30.10,30.00
0:0,339,313,322,30.10,30.00
0:0,340,311,322,30.10,29.00
0:0,339,314,324,30.10,29.00
0:0,339,313,323,30.10,29.00
0:0,339,313,323,30.10,29.00
0:0,339,311,322,30.00,29.00
0:0,339,311,324,30.00,29.00
0:0,338,313,323,30.00,29.00
0:0,338,311,322,30.00,29.00
0:0,340,314,324,30.10,29.00
0:0,339,311,323,30.10,29.00
0:0,339,313,321,30.10,29.00
0:0,339,311,321,30.10,29.00
0:0,338,313,320,30.10,29.00
0:0,339,313,322,30.10,29.00
0:0,339,313,323,30.10,29.00
0:0,338,314,323,30.10,29.00
0:0,339,313,321,30.10,29.00
0:0,337,314,323,30.10,29.00
0:0,337,314,322,30.10,29.00
0:0,337,312,324,30.10,29.00
0:0,336,313,324,30.00,29.00
0:0,338,313,324,30.00,29.00
0:0,337,314,323,30.00,29.00
0:0,338,313,324,30.00,29.00
0:0,338,314,324,30.10,29.00
0:0,337,314,323,30.10,29.00
0:0,338,314,323,30.10,29.00
0:0,338,313,324,30.10,29.00
0:0,338,314,325,30.10,29.00
0:0,338,314,324,30.10,29.00
0:0,337,314,326,30.10,29.00
0:0,338,313,324,30.10,29.00
0:0,337,312,323,30.10,29.00
0:0,338,313,324,30.10,29.00
0:0,337,312,324,30.10,29.00
0:0,338,314,324,30.10,29.00
0:0,338,310,320,30.20,28.00
0:0,337,314,325,30.20,28.00
0:0,338,312,324,30.20,28.00
0:0,337,313,324,30.20,28.00
0:0,337,314,325,30.20,28.00
0:0,338,313,325,30.20,28.00
0:0,337,314,325,30.20,28.00
0:0,337,312,323,30.20,28.00
0:0,337,313,324,30.10,28.00
0:0,337,313,325,30.10,28.00
0:0,337,311,324,30.10,28.00
0:0,337,314,324,30.10,28.00
0:0,337,314,325,30.10,29.00
0:0,337,311,325,30.10,29.00
0:0,337,314,324,30.10,29.00
0:0,337,314,324,30.10,29.00
0:0,337,311,324,30.10,28.00
0:0,337,314,325,30.10,28.00
0:0,336,315,325,30.10,28.00
0:0,337,313,325,30.10,28.00
0:0,337,313,322,30.10,28.00
0:0,338,314,323,30.10,28.00
0:0,337,311,324,30.10,28.00
0:0,336,311,324,30.10,28.00
0:0,337,314,325,30.20,28.00
0:0,336,314,323,30.20,28.00
0:0,337,315,325,30.20,28.00
0:0,336,314,325,30.20,28.00
0:0,337,313,324,30.10,28.00
0:0,337,313,325,30.10,28.00
0:0,337,314,323,30.10,28.00
0:0,338,314,326,30.10,28.00
0:0,336,314,325,30.10,28.00
0:0,336,314,326,30.10,28.00
0:0,336,314,323,30.10,28.00
0:0,336,314,323,30.10,28.00
0:0,336,314,323,30.10,28.00
0:0,335,314,326,30.10,28.00
0:0,336,314,324,30.10,28.00
0:0,336,314,325,30.10,28.00
0:0,336,314,323,30.10,28.00
0:0,336,314,325,30.10,28.00
0:0,336,312,326,30.10,28.00
0:0,336,313,325,30.10,28.00
0:0,335,314,325,30.10,28.00
0:0,337,312,326,30.10,28.00
0:0,337,314,323,30.10,28.00
0:0,337,314,324,30.10,28.00
0:0,337,311,325,30.20,28.00
0:0,336,314,326,30.20,28.00
0:0,336,312,326,30.20,28.00
0:0,336,315,326,30.20,28.00
0:0,336,314,326,30.10,28.00
0:0,337,312,325,30.10,28.00
0:0,335,314,325,30.10,28.00
0:0,336,315,325,30.10,28.00
0:0,336,311,326,30.20,28.00
0:0,336,315,326,30.20,28.00
0:0,336,313,326,30.20,28.00
0:0,336,313,325,30.20,28.00
0:0,336,314,325,30.10,28.00
0:0,336,314,323,30.10,28.00
0:0,335,314,326,30.10,28.00
0:0,335,314,326,30.10,28.00
0:0,335,314,326,30.10,28.00
0:0,335,313,325,30.10,28.00
0:0,336,314,327,30.10,28.00
0:0,335,312,323,30.10,28.00
0:0,335,314,326,30.10,28.00
0:0,336,314,326,30.10,28.00
0:0,335,316,327,30.10,28.00
0:0,335,314,323,30.10,28.00
0:0,335,314,326,30.20,28.00
0:0,336,314,325,30.20,28.00
0:0,336,314,328,30.20,28.00
0:0,335,315,327,30.20,28.00
0:0,335,314,323,30.20,28.00
0:0,336,314,326,30.20,28.00
0:0,335,315,326,30.20,28.00
0:0,335,314,327,30.20,28.00
0:0,336,312,324,30.20,28.00
0:0,335,315,327,30.20,28.00
0:0,335,312,327,30.20,28.00
0:0,335,314,323,30.20,28.00
0:0,335,314,325,30.20,28.00
0:0,335,315,326,30.20,28.00
0:0,335,314,326,30.20,28.00
0:0,335,315,328,30.20,28.00
0:0,335,315,331,30.20,29.00
0:0,335,315,330,30.20,29.00
0:0,335,315,331,30.20,29.00
0:0,334,313,329,30.20,29.00
0:0,335,316,332,30.10,28.00
0:0,333,316,329,30.10,28.00
0:0,335,315,331,30.10,28.00
0:0,334,314,332,30.10,28.00
0:0,335,314,329,30.20,28.00
0:0,334,313,331,30.20,28.00
0:0,334,314,332,30.20,28.00
0:0,335,314,331,30.20,28.00
0:0,335,315,331,30.20,28.00
0:0,334,313,332,30.20,28.00
0:0,335,315,331,30.20,28.00
0:0,334,314,332,30.20,28.00
0:0,333,315,332,30.10,28.00
0:0,335,314,333,30.10,28.00
0:0,335,316,332,30.10,28.00
0:0,334,314,332,30.10,28.00
0:0,334,314,332,30.20,28.00
0:0,334,315,332,30.20,28.00
0:0,334,315,332,30.20,28.00
0:0,334,313,331,30.20,28.00
0:0,334,314,332,30.30,28.00
0:0,334,313,332,30.30,28.00
0:0,333,316,333,30.30,28.00
0:0,334,313,331,30.30,28.00
0:0,334,315,329,30.20,28.00
0:0,333,315,329,30.20,28.00
0:0,334,313,332,30.20,28.00
0:0,334,316,330,30.20,28.00
0:0,334,313,332,30.30,28.00
0:0,334,315,331,30.30,28.00
0:0,334,315,331,30.30,28.00
0:0,334,314,330,30.30,28.00
0:0,334,316,333,30.20,27.00
0:0,334,314,333,30.20,27.00
0:0,334,315,331,30.20,27.00
0:0,334,315,332,30.20,27.00
0:0,334,313,331,30.20,28.00
0:0,334,314,332,30.20,28.00
0:0,334,313,332,30.20,28.00
0:0,334,314,332,30.20,28.00
0:0,333,315,333,30.20,28.00
0:0,334,315,334,30.20,28.00
0:0,334,314,333,30.20,28.00
0:0,333,315,333,30.20,28.00
0:0,333,314,332,30.30,28.00
0:0,334,314,333,30.30,28.00
0:0,333,314,333,30.30,28.00
0:0,333,314,331,30.30,28.00
0:0,334,316,331,30.30,28.00
0:0,332,316,330,30.30,28.00
0:0,333,313,333,30.30,28.00
0:0,334,312,333,30.30,28.00
0:0,333,316,334,30.20,28.00
0:0,333,314,333,30.20,28.00
0:0,333,316,331,30.20,28.00
0:0,333,316,332,30.20,28.00
0:0,332,313,332,30.20,28.00
0:0,333,316,331,30.20,28.00
0:0,332,315,331,30.20,28.00
0:0,333,312,331,30.20,28.00
0:0,333,315,330,30.20,28.00
0:0,333,316,334,30.20,28.00
